City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,vostok,46.4856,135.8833,260.98,81,20,1.22,RU,1673155908
235,kos,36.8933,27.2889,283.84,62,0,2.38,GR,1673155909
236,nieuwpoort,51.1244,2.7735,280.51,87,40,5.14,BE,1673155910
237,champerico,14.3,-91.9167,297.96,72,1,2.53,GT,1673155910
238,hobyo,5.3505,48.5268,300.03,67,5,8.34,SO,1673155911
239,tomatlan,19.9333,-105.25,292.05,87,0,1.34,MX,1673155912
240,harnosand,62.6323,17.9379,273.15,98,100,10.01,SE,1673155913
241,dawei,14.0833,98.2,303.52,41,52,0.66,MM,1673155666
242,severo-yeniseyskiy,60.3725,93.0408,255.33,95,100,1.09,RU,1673155914
243,evensk,61.95,159.2333,246.4,80,22,3.05,RU,1673155915
244,nueva guinea,11.6876,-84.4562,293.08,98,16,2.42,NI,1673155915
245,new port richey,28.2442,-82.7193,288.82,79,0,4.09,US,1673155916
246,georgetown,5.4112,100.3354,303.11,74,20,3.6,MY,1673155517
247,fereydun kenar,36.6864,52.5225,283.45,84,99,7.02,IR,1673155917
248,leshukonskoye,64.8989,45.7622,231.79,100,56,0.64,RU,1673155918
249,klyuchi,52.2667,79.1667,271.32,94,100,8.76,RU,1673155618
250,oktyabrskoye,43.0645,44.7417,261.23,85,100,2.0,RU,1673155919
251,key largo,25.0865,-80.4473,294.82,73,0,5.7,US,1673155920
252,gorin,51.1983,136.6669,253.52,92,97,2.58,RU,1673155921
253,gazanjyk,39.2446,55.5154,273.24,90,100,3.36,TM,1673155922
254,dankov,53.2515,39.1555,256.8,87,5,2.84,RU,1673155922
255,chapais,49.7834,-74.8492,258.03,97,92,2.01,CA,1673155600
256,calama,-22.4667,-68.9333,282.42,23,0,2.06,CL,1673155758
257,kasongo-lunda,-6.4667,16.8167,294.47,90,100,0.34,CD,1673155924
258,broken hill,-31.95,141.4333,307.38,15,57,3.99,AU,1673155382
259,grand-santi,4.25,-54.3833,294.79,100,97,1.01,GF,1673155925
260,hambantota,6.1241,81.1185,302.34,79,20,5.66,LK,1673155926
261,itatskiy,56.07,89.0369,272.15,81,100,5.55,RU,1673155926
262,pemangkat,1.1667,108.9667,301.24,74,66,3.65,ID,1673155927
263,port hardy,50.6996,-127.4199,278.25,100,40,2.06,CA,1673155928
264,colares,38.7992,-9.4469,290.24,92,100,5.81,PT,1673155553
265,moussoro,13.6408,16.4901,289.07,24,9,4.42,TD,1673155929
266,ancud,-41.8697,-73.8203,287.31,95,100,1.48,CL,1673155930
267,constitucion,-35.3333,-72.4167,286.94,89,0,3.05,CL,1673155742
268,naze,28.3667,129.4833,289.66,56,0,4.47,JP,1673155220
269,fare,-16.7,-151.0167,300.87,66,62,1.96,PF,1673155726
270,las vegas,36.175,-115.1372,282.73,69,0,1.54,US,1673155933
271,touros,-5.1989,-35.4608,298.72,79,99,4.12,BR,1673155830
272,waitati,-45.75,170.5667,288.6,95,0,5.16,NZ,1673155934
273,mehamn,71.0357,27.8492,263.12,79,23,7.72,NO,1673155935
274,mundo nuevo,18.7,-95.5,294.99,79,0,2.84,MX,1673155936
275,arlit,18.7369,7.3853,290.74,29,1,2.51,NE,1673155413
276,sawakin,19.1059,37.3321,295.11,62,68,3.28,SD,1673155938
277,nanuque,-17.8392,-40.3539,295.46,96,100,2.65,BR,1673155939
278,mahibadhoo,3.7833,72.9667,300.29,77,43,8.38,MV,1673155940
279,norman wells,65.282,-126.8329,248.17,77,75,1.54,CA,1673155523
280,syracuse,37.0881,15.2792,283.92,72,6,2.62,IT,1673155941
281,vardo,70.3705,31.1107,267.14,73,5,6.69,NO,1673155942
282,lata,40.1629,-8.3327,287.64,97,100,6.54,PT,1673155942
283,goderich,43.7501,-81.7165,270.33,80,70,1.03,CA,1673155882
284,katsuura,35.1333,140.3,284.13,45,0,1.58,JP,1673155721
285,tuktoyaktuk,69.4541,-133.0374,250.15,84,75,2.06,CA,1673155810
286,mandalgovi,45.7625,106.2708,268.29,46,100,2.71,MN,1673155945
287,tapejara,-28.0681,-52.0139,286.59,96,0,2.74,BR,1673155946
288,sambava,-14.2667,50.1667,299.4,79,16,2.95,MG,1673155397
289,hualmay,-11.0964,-77.6139,293.71,83,65,2.39,PE,1673155665
290,porto belo,-27.1578,-48.5531,294.35,84,16,2.81,BR,1673155947
291,geraldton,-28.7667,114.6,301.38,42,0,12.35,AU,1673155651
292,akureyri,65.6835,-18.0878,274.11,93,100,4.63,IS,1673155949
293,viedma,-40.8135,-62.9967,303.15,28,5,8.03,AR,1673155743
294,zaragoza,41.6561,-0.8773,280.4,87,20,2.57,ES,1673155950
295,yumen,40.2833,97.2,275.48,20,44,1.86,CN,1673155950
296,hasaki,35.7333,140.8333,286.05,50,4,4.08,JP,1673155276
297,ulaangom,49.9811,92.0667,252.17,97,94,0.93,MN,1673155952
298,rantepao,-2.9701,119.8978,299.02,78,96,0.39,ID,1673155952
299,hearst,49.6835,-83.6665,267.29,89,100,5.04,CA,1673155953
300,gumdag,39.2061,54.5906,276.1,72,100,5.94,TM,1673155954
301,rosetta,31.4044,30.4164,289.12,74,4,3.71,EG,1673155954
302,myre,69.1036,15.9492,272.12,72,61,12.6,NO,1673155955
303,mranggen,-7.0268,110.5158,303.06,74,20,3.09,ID,1673155956
304,kununurra,-15.7667,128.7333,309.14,41,40,3.6,AU,1673155957
305,cockburn town,21.4612,-71.1419,298.63,71,0,7.83,TC,1673155958
306,okhotsk,59.3833,143.3,244.73,81,3,6.06,RU,1673155959
307,namatanai,-3.6667,152.4333,302.3,71,92,2.81,PG,1673155959
308,charters towers,-20.1,146.2667,303.49,47,99,5.65,AU,1673155960
309,severo-kurilsk,50.6789,156.125,269.22,64,93,9.44,RU,1673155545
310,taft,31.7471,54.2088,277.12,52,0,1.03,IR,1673155961
311,inirida,3.8653,-67.9239,294.21,99,100,1.14,CO,1673155902
312,strelka,58.0728,93.0344,269.62,96,100,3.27,RU,1673155963
313,aguimes,27.9054,-15.4461,289.5,72,20,4.63,ES,1673155963
314,ostrovnoy,68.0531,39.5131,259.21,96,73,4.13,RU,1673155964
315,chumikan,54.7183,135.315,258.67,82,99,7.78,RU,1673155965
316,wahpeton,46.2652,-96.6059,261.99,92,0,3.6,US,1673155966
317,berdigestyakh,62.0989,126.6992,249.31,99,100,0.92,RU,1673155967
318,strezhevoy,60.7333,77.5889,254.32,95,100,4.26,RU,1673155967
319,fort smith,35.3859,-94.3986,280.18,73,0,3.6,US,1673155968
320,pisco,-13.7,-76.2167,294.18,83,0,1.03,PE,1673155565
321,jumla,29.2747,82.1838,287.87,16,0,2.24,NP,1673155970
322,camacha,33.0833,-16.3333,289.83,82,40,4.63,PT,1673155971
323,gaoual,11.75,-13.2,293.45,32,71,0.72,GN,1673155972
324,suntar,62.1444,117.6319,255.68,94,100,2.67,RU,1673155972
325,verkhniy ufaley,56.0567,60.2306,249.35,95,100,3.65,RU,1673155973
326,sumbawanga,-7.9667,31.6167,291.04,82,40,2.57,TZ,1673155974
327,pevek,69.7008,170.3133,247.59,97,99,2.96,RU,1673155824
328,cozumel,20.5083,-86.9458,296.19,83,40,3.09,MX,1673155975
329,port macquarie,-31.4333,152.9167,296.98,61,32,7.0,AU,1673155876
330,halifax,44.6453,-63.5724,274.54,93,92,1.79,CA,1673155803
331,saint-augustin,51.226,-58.6502,264.97,96,100,1.12,CA,1673155976
332,khor,47.8861,134.9464,256.56,94,43,1.75,RU,1673155977
333,dangtu,31.5723,118.4928,292.18,20,0,2.78,CN,1673155978
334,horadiz,39.4488,47.3353,274.02,86,100,5.15,AZ,1673155978
335,fairbanks,64.8378,-147.7164,259.13,85,100,0.0,US,1673155826
336,dahegam,23.1667,72.8167,296.02,34,0,4.0,IN,1673155980
337,long beach,33.767,-118.1892,288.15,83,0,1.54,US,1673155981
338,canoinhas,-26.1772,-50.39,287.94,83,46,1.42,BR,1673155982
339,ishim,56.1128,69.4902,251.67,94,100,4.47,RU,1673155983
340,grand gaube,-20.0064,57.6608,301.37,65,7,4.02,MU,1673155983
341,asfi,32.2994,-9.2372,287.37,75,44,1.51,MA,1673155984
